,Country,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00
1,Austria,23424.0,18621.0,32549.0,34063.0,29705.0,32849.0,25881.0,21808.0,25375.0,23699.0,22240.0,17701.0
2,Belgium,50958.0,45171.0,51869.0,48036.0,41322.0,49041.0,32347.0,33109.0,35382.0,36720.0,35399.0,20734.0
3,Denmark,9950.0,9581.0,12421.0,13917.0,12924.0,14976.0,11729.0,11828.0,12434.0,11479.0,12437.0,13209.0
4,Finland,18168.0,11174.0,12896.0,14938.0,14762.0,14249.0,11432.0,11521.0,11869.0,11234.0,9992.0,5714.0
5,France,164116.0,159642.0,202475.0,194651.0,183462.0,223397.0,159465.0,113843.0,165698.0,159668.0,172003.0,169369.0
6,Germany,200419.0,218841.0,331538.0,309378.0,299992.0,336629.0,270936.0,246666.0,284172.0,288598.0,275217.0,256873.0
7,Greece,31742.0,20480.0,25616.0,26273.0,23733.0,25599.0,26379.0,20818.0,19418.0,18754.0,19145.0,11771.0
8,Ireland,38329.0,24616.0,24690.0,17401.0,17517.0,14378.0,12369.0,8909.0,6993.0,4257.0,1666.0,617.0
9,Italy,214440.0,197582.0,230473.0,197715.0,151133.0,236488.0,214088.0,98133.0,188417.0,186745.0,179411.0,142819.0
10,Luxembourg,3793.0,4888.0,5931.0,5312.0,4448.0,4299.0,3941.0,2773.0,3470.0,3837.0,3431.0,2394.0
11,Netherlands,70943.0,34161.0,45589.0,40985.0,37132.0,45056.0,38003.0,32898.0,43488.0,34987.0,33134.0,8776.0
12,Portugal,16524.0,15541.0,21118.0,16723.0,20288.0,26552.0,19202.0,11222.0,13506.0,14168.0,16056.0,15588.0
13,Spain,104795.0,119555.0,149559.0,133398.0,140705.0,161717.0,163004.0,96768.0,102854.0,107314.0,119438.0,129770.0
14,Sweden,16547.0,19073.0,23936.0,25718.0,25438.0,26454.0,17186.0,20361.0,25076.0,24894.0,24617.0,25001.0
15,United Kingdom,181474.0,77092.0,442939.0,179457.0,187900.0,227623.0,175277.0,83066.0,417052.0,152497.0,158474.0,156866.0
16,EU-151,1145622.0,976018.0,1613599.0,1257965.0,1190461.0,1439307.0,1181239.0,813723.0,1355204.0,1078851.0,1082660.0,977202.0
