,Country,1999-01-01 00:00:00,1999-02-01 00:00:00,1999-03-01 00:00:00,1999-04-01 00:00:00,1999-05-01 00:00:00,1999-06-01 00:00:00,1999-07-01 00:00:00,1999-08-01 00:00:00,1999-09-01 00:00:00,1999-10-01 00:00:00,1999-11-01 00:00:00,1999-12-01 00:00:00
1,Austria,27257.0,18774.0,37410.0,35249.0,30117.0,31035.0,28819.0,22534.0,26419.0,22769.0,21385.0,12414.0
2,Belgium,58757.0,44727.0,54342.0,47331.0,39790.0,48116.0,37871.0,31062.0,34638.0,37765.0,32490.0,22732.0
3,Denmark,10364.0,12068.0,17021.0,13214.0,13191.0,14375.0,11385.0,9894.0,9956.0,9994.0,10197.0,12068.0
4,Finland,14970.0,9918.0,12617.0,14036.0,12814.0,12808.0,11155.0,10672.0,11629.0,10639.0,9136.0,5930.0
5,France,156583.0,157739.0,206190.0,186656.0,148480.0,104737.0,292625.0,179072.0,157440.0,188835.0,183590.0,186476.0
6,Germany,273341.0,269260.0,429896.0,368130.0,333676.0,363223.0,341045.0,262766.0,308979.0,292985.0,274378.0,284497.0
7,Greece,31024.0,17990.0,23591.0,24865.0,23176.0,24017.0,24916.0,16832.0,14094.0,20493.0,23886.0,16827.0
8,Ireland,26921.0,21247.0,24153.0,17318.0,18654.0,16630.0,15050.0,10661.0,9306.0,7279.0,4983.0,2040.0
9,Italy,225578.0,217803.0,250956.0,222830.0,217650.0,230297.0,231643.0,94210.0,169448.0,183903.0,170778.0,123368.0
10,Luxembourg,3083.0,4394.0,5420.0,4349.0,3504.0,3606.0,3551.0,2231.0,2671.0,3030.0,2477.0,2160.0
11,Netherlands,91926.0,51787.0,60985.0,58839.0,54057.0,58666.0,51994.0,38784.0,48741.0,46688.0,39172.0,9848.0
12,Portugal,20503.0,24983.0,31682.0,25105.0,25392.0,26651.0,29679.0,17642.0,17302.0,18380.0,19623.0,15941.0
13,Spain,82247.0,108175.0,148330.0,113106.0,123534.0,146819.0,160737.0,82910.0,89780.0,112676.0,115778.0,122154.0
14,Sweden,17851.0,20313.0,27643.0,24769.0,26238.0,27040.0,20422.0,19196.0,23839.0,26362.0,27846.0,33730.0
15,United Kingdom,181842.0,84040.0,370060.0,183047.0,175898.0,196442.0,167324.0,74444.0,386999.0,149614.0,143323.0,84582.0
16,EU-151,1222247.0,1063218.0,1700296.0,1338844.0,1246171.0,1304462.0,1428216.0,872910.0,1311241.0,1131412.0,1079042.0,934767.0
