,Country,2000-01-01 00:00:00,2000-02-01 00:00:00,2000-03-01 00:00:00,2000-04-01 00:00:00,2000-05-01 00:00:00,2000-06-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-09-01 00:00:00,2000-10-01 00:00:00,2000-11-01 00:00:00,2000-12-01 00:00:00
1,Austria,26975.0,23420.0,35192.0,32666.0,32672.0,27726.0,25701.0,23630.0,23217.0,23907.0,21040.0,13281.0
2,Belgium,57730.0,57736.0,62252.0,52294.0,51029.0,43113.0,36027.0,31175.0,31519.0,39632.0,32501.0,20196.0
3,Denmark,8535.0,9906.0,12541.0,10417.0,11906.0,10327.0,8678.0,8166.0,7787.0,7680.0,7367.0,9380.0
4,Finland,17330.0,11783.0,12516.0,11629.0,15008.0,12056.0,9846.0,10256.0,9663.0,9800.0,8019.0,6740.0
5,France,169634.0,181552.0,211015.0,185264.0,196549.0,183697.0,186842.0,156576.0,150191.0,184721.0,176351.0,151492.0
6,Germany,234310.0,273186.0,386127.0,275491.0,351647.0,292878.0,276542.0,251320.0,270393.0,259474.0,266114.0,240861.0
7,Greece,30515.0,25779.0,27460.0,27763.0,27989.0,27369.0,27398.0,21732.0,19846.0,20134.0,20006.0,14231.0
8,Ireland,41831.0,30149.0,32178.0,25391.0,26951.0,22782.0,17678.0,13044.0,9444.0,6678.0,3521.0,1148.0
9,Italy,266008.0,241305.0,260354.0,213830.0,236919.0,198704.0,223328.0,111692.0,183109.0,188092.0,176504.0,123239.0
10,Luxembourg,2981.0,4627.0,5178.0,4720.0,4767.0,3509.0,3308.0,2401.0,2610.0,3047.0,2716.0,2032.0
11,Netherlands,88909.0,53660.0,66735.0,54935.0,58125.0,48437.0,40943.0,42239.0,43349.0,42978.0,40458.0,16857.0
12,Portugal,24666.0,22397.0,27018.0,22317.0,23662.0,25031.0,23711.0,19389.0,15380.0,17249.0,19381.0,17635.0
13,Spain,95880.0,121616.0,146921.0,123601.0,127261.0,145024.0,150755.0,84708.0,85637.0,99635.0,103601.0,96617.0
14,Sweden,16324.0,20163.0,29143.0,25544.0,32354.0,26031.0,19376.0,21987.0,24338.0,23297.0,23455.0,28517.0
15,United Kingdom,185040.0,73735.0,401996.0,168200.0,194113.0,193360.0,155108.0,72708.0,353494.0,153541.0,162572.0,107803.0
16,EU-151,1266668.0,1151014.0,1716626.0,1234062.0,1390952.0,1260044.0,1205241.0,871023.0,1229977.0,1079865.0,1063606.0,850029.0
