,Country,1996-01-01 00:00:00,1996-02-01 00:00:00,1996-03-01 00:00:00,1996-04-01 00:00:00,1996-05-01 00:00:00,1996-06-01 00:00:00,1996-07-01 00:00:00,1996-08-01 00:00:00,1996-09-01 00:00:00,1996-10-01 00:00:00,1996-11-01 00:00:00,1996-12-01 00:00:00
1,Austria,25922.0,21424.0,36175.0,39247.0,51258.0,20261.0,23085.0,18718.0,20646.0,22614.0,16846.0,11449.0
2,Belgium,42873.0,44396.0,45352.0,39997.0,36881.0,34255.0,32781.0,20870.0,25854.0,32635.0,24122.0,17343.0
3,Denmark,9400.0,10551.0,16496.0,14775.0,15454.0,12942.0,11058.0,10402.0,9836.0,12073.0,10539.0,8904.0
4,Finland,13452.0,7549.0,8346.0,9373.0,9405.0,7938.0,7687.0,7217.0,6762.0,7943.0,6039.0,4119.0
5,France,184541.0,177378.0,191942.0,183244.0,156597.0,134489.0,234474.0,171317.0,216484.0,202150.0,135090.0,144385.0
6,Germany,275607.0,266700.0,375378.0,336525.0,338790.0,316540.0,304859.0,228316.0,274624.0,285918.0,260066.0,232997.0
7,Greece,14036.0,10257.0,12437.0,14602.0,13907.0,11206.0,14852.0,9183.0,8942.0,11425.0,10968.0,8006.0
8,Ireland,16939.0,14227.0,16342.0,12982.0,14131.0,9927.0,9792.0,6457.0,5392.0,4714.0,3352.0,944.0
9,Italy,198031.0,163131.0,176517.0,152157.0,162802.0,148121.0,160157.0,73252.0,114835.0,144853.0,129949.0,108393.0
10,Luxembourg,1977.0,3189.0,3729.0,4071.0,3033.0,2479.0,2945.0,1474.0,1785.0,2284.0,1648.0,1366.0
11,Netherlands,68099.0,39920.0,46962.0,42183.0,46347.0,46346.0,38406.0,31299.0,33666.0,38311.0,31073.0,9377.0
12,Portugal,17231.0,17902.0,22849.0,19117.0,20180.0,18987.0,23346.0,13493.0,12541.0,16303.0,15814.0,20147.0
13,Spain,56179.0,72964.0,96087.0,74570.0,82716.0,79751.0,103510.0,51198.0,58887.0,78377.0,70332.0,86357.0
14,Sweden,10863.0,14665.0,14187.0,15920.0,16612.0,17001.0,12189.0,10893.0,14789.0,19961.0,19147.0,17593.0
15,United Kingdom,191761.0,159013.0,180275.0,162618.0,165685.0,141266.0,39150.0,479407.0,138059.0,154733.0,135342.0,78141.0
16,EU-151,1126911.0,1023266.0,1243074.0,1121381.0,1133798.0,1001509.0,1018291.0,1133496.0,943102.0,1034294.0,870327.0,749521.0
