,Country,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00
1,Austria,22430.0,20544.0,32345.0,29415.0,28523.0,31324.0,23615.0,21329.0,22016.0,25003.0,22870.0,18768.0
2,Belgium,55832.0,48856.0,59170.0,47713.0,46961.0,49977.0,39597.0,33882.0,36611.0,46150.0,36351.0,23695.0
3,Denmark,11481.0,10596.0,14083.0,11943.0,14033.0,14766.0,13082.0,13191.0,13243.0,14256.0,14999.0,13674.0
4,Finland,16884.0,10570.0,12734.0,12297.0,13137.0,11794.0,10446.0,11023.0,9826.0,11075.0,3377.0,2122.0
5,France,171651.0,157671.0,189869.0,172621.0,172320.0,216476.0,183340.0,111249.0,148164.0,188877.0,169757.0,182548.0
6,Germany,199686.0,183258.0,334592.0,264871.0,293484.0,301108.0,258639.0,239381.0,265473.0,281845.0,283921.0,241905.0
7,Greece,31685.0,19842.0,27786.0,22616.0,29251.0,28326.0,27868.0,21524.0,19369.0,21088.0,19976.0,10414.0
8,Ireland,45818.0,26592.0,27883.0,16875.0,20489.0,15269.0,13092.0,8848.0,5712.0,3816.0,1443.0,488.0
9,Italy,250311.0,225695.0,261371.0,207777.0,248195.0,228925.0,214194.0,104860.0,186381.0,207049.0,196125.0,162223.0
10,Luxembourg,3908.0,4506.0,6007.0,5612.0,4598.0,4621.0,4231.0,2929.0,3483.0,4688.0,3823.0,2926.0
11,Netherlands,68719.0,41382.0,51268.0,39025.0,42135.0,52575.0,39141.0,41303.0,40625.0,42251.0,38151.0,8963.0
12,Portugal,14463.0,14105.0,20880.0,16280.0,18788.0,23022.0,22554.0,11786.0,12994.0,15679.0,15917.0,15348.0
13,Spain,116423.0,120522.0,173716.0,121685.0,153396.0,166218.0,167426.0,99664.0,96754.0,129384.0,125206.0,144441.0
14,Sweden,20599.0,20326.0,27477.0,27169.0,30016.0,26462.0,20588.0,23062.0,23806.0,28839.0,27705.0,30750.0
15,United Kingdom,165603.0,73586.0,449287.0,170163.0,185797.0,222863.0,176277.0,77649.0,419290.0,166797.0,158735.0,137960.0
16,EU-151,1195493.0,978051.0,1688468.0,1166062.0,1301123.0,1393726.0,1214090.0,821680.0,1303747.0,1186797.0,1118356.0,996225.0
