,Country,1991-01-01 00:00:00,1991-02-01 00:00:00,1991-03-01 00:00:00,1991-04-01 00:00:00,1991-05-01 00:00:00,1991-06-01 00:00:00,1991-07-01 00:00:00,1991-08-01 00:00:00,1991-09-01 00:00:00,1991-10-01 00:00:00,1991-11-01 00:00:00,1991-12-01 00:00:00
1,Austria,27040.0,20475.0,34348.0,32801.0,30744.0,29931.0,27211.0,20962.0,20269.0,25739.0,19475.0,14728.0
2,Belgium,47307.0,35942.0,47088.0,49475.0,42884.0,46213.0,41204.0,29535.0,31580.0,39322.0,29108.0,22467.0
3,Denmark,5454.0,5380.0,10400.0,8930.0,9258.0,7779.0,6661.0,6379.0,6296.0,7283.0,6113.0,3752.0
4,Finland,12077.0,6920.0,8874.0,10372.0,8209.0,7163.0,7243.0,6474.0,7132.0,6930.0,6495.0,4594.0
5,France,179464.0,153801.0,181281.0,189924.0,155031.0,131019.0,223071.0,151677.0,141960.0,193187.0,165398.0,165461.0
6,Germany,319748.0,342725.0,444576.0,442732.0,427935.0,430947.0,552865.0,165040.0,233290.0,293570.0,272966.0,232280.0
7,Greece,10977.0,10740.0,12853.0,15084.0,15594.0,14223.0,18672.0,14299.0,10991.0,14462.0,14819.0,15023.0
8,Ireland,9285.0,5962.0,7821.0,6574.0,9725.0,6256.0,6658.0,4691.0,3750.0,3357.0,2236.0,2125.0
9,Italy,295463.0,207724.0,235431.0,192108.0,222099.0,192823.0,214440.0,95642.0,142955.0,196031.0,155815.0,99459.0
10,Luxembourg,2963.0,4577.0,5246.0,5265.0,4295.0,3802.0,3972.0,2328.0,2260.0,2329.0,2258.0,3770.0
11,Netherlands,78186.0,38235.0,51266.0,46335.0,48516.0,45831.0,37204.0,32063.0,32681.0,39484.0,31276.0,9678.0
12,Portugal,16276.0,16058.0,21542.0,19853.0,21636.0,20569.0,22635.0,16541.0,15234.0,18660.0,17247.0,22303.0
13,Spain,65552.0,67861.0,75468.0,80526.0,81963.0,82783.0,100196.0,58799.0,55603.0,78833.0,69033.0,70366.0
14,Sweden,12194.0,13399.0,17418.0,20602.0,19086.0,17391.0,11343.0,10669.0,14831.0,18403.0,17218.0,15754.0
15,United Kingdom,163534.0,124342.0,168854.0,126588.0,120162.0,98204.0,36101.0,367646.0,126906.0,101107.0,100608.0,58274.0
16,EU-151,1245520.0,1054141.0,1322466.0,1247169.0,1217137.0,1134934.0,1309476.0,982745.0,845738.0,1038697.0,910065.0,740034.0
