,Country,1992-01-01 00:00:00,1992-02-01 00:00:00,1992-03-01 00:00:00,1992-04-01 00:00:00,1992-05-01 00:00:00,1992-06-01 00:00:00,1992-07-01 00:00:00,1992-08-01 00:00:00,1992-09-01 00:00:00,1992-10-01 00:00:00,1992-11-01 00:00:00,1992-12-01 00:00:00
1,Austria,27562.0,24330.0,35316.0,42121.0,30566.0,29724.0,28942.0,18549.0,25064.0,27584.0,20359.0,9917.0
2,Belgium,51891.0,50055.0,46739.0,54960.0,57093.0,37218.0,33279.0,25603.0,28718.0,36350.0,26896.0,17392.0
3,Denmark,6778.0,7297.0,9772.0,9155.0,8629.0,7468.0,6997.0,6208.0,7089.0,6174.0,4648.0,3464.0
4,Finland,10308.0,5336.0,6313.0,6668.0,5732.0,5551.0,5195.0,4459.0,7911.0,5131.0,3378.0,2565.0
5,France,178836.0,160337.0,181760.0,179264.0,150350.0,140561.0,224147.0,151789.0,147204.0,192756.0,178299.0,220397.0
6,Germany,328666.0,316802.0,425922.0,401095.0,357968.0,356964.0,352270.0,230724.0,280111.0,301522.0,285730.0,291784.0
7,Greece,17558.0,14729.0,10355.0,20028.0,15235.0,17369.0,18901.0,14981.0,14954.0,18232.0,17496.0,19256.0
8,Ireland,7573.0,7106.0,9408.0,6985.0,6840.0,6348.0,8228.0,4670.0,4194.0,3279.0,2203.0,1581.0
9,Italy,283098.0,206326.0,221829.0,256950.0,225667.0,234424.0,233381.0,79701.0,148800.0,190132.0,149815.0,142224.0
10,Luxembourg,2836.0,4740.0,4742.0,4892.0,3641.0,3536.0,2708.0,1750.0,2117.0,2411.0,2010.0,1865.0
11,Netherlands,89791.0,36998.0,43392.0,45008.0,39177.0,38004.0,35681.0,26295.0,33314.0,36746.0,35392.0,32172.0
12,Portugal,20108.0,20879.0,27751.0,32914.0,23376.0,20750.0,24229.0,18625.0,17698.0,20463.0,21958.0,28221.0
13,Spain,85388.0,87042.0,97057.0,91708.0,83994.0,94383.0,108809.0,49747.0,59442.0,71959.0,67258.0,85257.0
14,Sweden,13295.0,13634.0,16869.0,17115.0,15771.0,14855.0,10372.0,8383.0,10787.0,11368.0,9936.0,11788.0
15,United Kingdom,153681.0,109414.0,143115.0,138106.0,121862.0,102566.0,33051.0,373804.0,121823.0,109373.0,106902.0,79903.0
16,EU-151,1277369.0,1065025.0,1280340.0,1306969.0,1145901.0,1109721.0,1126190.0,1015288.0,909226.0,1033480.0,932280.0,947786.0
