,Country,1998-01-01 00:00:00,1998-02-01 00:00:00,1998-03-01 00:00:00,1998-04-01 00:00:00,1998-05-01 00:00:00,1998-06-01 00:00:00,1998-07-01 00:00:00,1998-08-01 00:00:00,1998-09-01 00:00:00,1998-10-01 00:00:00,1998-11-01 00:00:00,1998-12-01 00:00:00
1,Austria,25363.0,22364.0,31631.0,32040.0,26471.0,25844.0,28238.0,20885.0,23875.0,25088.0,20999.0,13067.0
2,Belgium,47583.0,43530.0,45351.0,47778.0,37937.0,41586.0,36018.0,29352.0,31817.0,38960.0,31378.0,20839.0
3,Denmark,12055.0,12757.0,16755.0,15726.0,13085.0,21023.0,11953.0,11862.0,12344.0,11541.0,11790.0,11617.0
4,Finland,14080.0,9188.0,10871.0,11986.0,11223.0,11227.0,10031.0,9235.0,10237.0,10363.0,9186.0,8124.0
5,France,138239.0,139235.0,182766.0,166110.0,137258.0,101511.0,238933.0,143670.0,173070.0,174210.0,178715.0,169836.0
6,Germany,261646.0,280249.0,435821.0,299220.0,318830.0,343477.0,323079.0,256002.0,302567.0,327296.0,297152.0,290648.0
7,Greece,18486.0,14252.0,12300.0,22608.0,16501.0,15995.0,18826.0,11581.0,11268.0,12676.0,7677.0,17975.0
8,Ireland,22203.0,16757.0,17324.0,15731.0,17395.0,14179.0,14385.0,8227.0,7216.0,6512.0,3418.0,2355.0
9,Italy,274825.0,226631.0,225438.0,229442.0,209554.0,211401.0,256570.0,99465.0,176288.0,180741.0,173521.0,114640.0
10,Luxembourg,2417.0,3675.0,4286.0,4451.0,3356.0,3032.0,3194.0,1890.0,2352.0,2806.0,2365.0,2104.0
11,Netherlands,75424.0,43752.0,48616.0,47517.0,47381.0,49311.0,49565.0,35408.0,44363.0,48147.0,40578.0,12916.0
12,Portugal,15853.0,17705.0,25295.0,21772.0,23549.0,23161.0,26050.0,15553.0,16677.0,19106.0,20999.0,22678.0
13,Spain,71844.0,87054.0,112099.0,100968.0,99559.0,116825.0,137966.0,65863.0,72632.0,105342.0,102690.0,119688.0
14,Sweden,17768.0,18631.0,21883.0,23978.0,21909.0,23706.0,17511.0,17193.0,20536.0,24137.0,22727.0,23451.0
15,United Kingdom,232055.0,177133.0,213374.0,171690.0,172851.0,169789.0,37896.0,505312.0,163380.0,155263.0,152314.0,96346.0
16,EU-151,1229841.0,1112913.0,1403810.0,1211017.0,1156859.0,1172067.0,1210215.0,1231498.0,1068622.0,1142188.0,1075509.0,926284.0
