,Country,1995-01-01 00:00:00,1995-02-01 00:00:00,1995-03-01 00:00:00,1995-04-01 00:00:00,1995-05-01 00:00:00,1995-06-01 00:00:00,1995-07-01 00:00:00,1995-08-01 00:00:00,1995-09-01 00:00:00,1995-10-01 00:00:00,1995-11-01 00:00:00,1995-12-01 00:00:00
1,Austria,24838.0,19830.0,32821.0,28832.0,31292.0,28519.0,25132.0,17971.0,20324.0,21252.0,17739.0,11060.0
2,Belgium,41964.0,30760.0,38921.0,32638.0,33091.0,33864.0,25200.0,23272.0,25119.0,30009.0,27895.0,16135.0
3,Denmark,9658.0,12024.0,16006.0,12443.0,13279.0,13133.0,9883.0,9916.0,10301.0,10565.0,10246.0,8319.0
4,Finland,10317.0,6104.0,7762.0,7678.0,8552.0,7032.0,5258.0,5699.0,6132.0,6737.0,5248.0,3371.0
5,France,155915.0,151644.0,185916.0,161355.0,157665.0,198012.0,192832.0,133231.0,116585.0,162360.0,172849.0,142140.0
6,Germany,246560.0,241138.0,360744.0,297329.0,321607.0,326766.0,268387.0,216764.0,272191.0,267454.0,262242.0,232875.0
7,Greece,11839.0,8574.0,10268.0,12901.0,11171.0,11725.0,10995.0,8843.0,8426.0,11042.0,10059.0,9180.0
8,Ireland,13808.0,9974.0,12064.0,9536.0,9466.0,7937.0,8276.0,5835.0,4287.0,3442.0,1803.0,531.0
9,Italy,201101.0,153685.0,176242.0,141145.0,167637.0,160704.0,156020.0,80191.0,126996.0,117669.0,151358.0,98999.0
10,Luxembourg,1920.0,3386.0,3819.0,3133.0,2636.0,2255.0,2264.0,1584.0,1718.0,2053.0,1894.0,1367.0
11,Netherlands,69517.0,37168.0,46096.0,39175.0,40592.0,46896.0,31726.0,28749.0,31928.0,36646.0,30073.0,9376.0
12,Portugal,15642.0,15236.0,21351.0,18032.0,18930.0,20599.0,21323.0,14329.0,11220.0,13638.0,14430.0,16741.0
13,Spain,51560.0,64226.0,93162.0,72457.0,79981.0,101490.0,74138.0,50590.0,49646.0,59731.0,62432.0,74956.0
14,Sweden,13351.0,12823.0,17037.0,15284.0,15614.0,15642.0,8179.0,10237.0,14608.0,16696.0,15185.0,15100.0
15,United Kingdom,191186.0,152329.0,181849.0,138770.0,152658.0,134901.0,33459.0,468945.0,140069.0,136605.0,143055.0,71540.0
16,EU-151,1059176.0,918901.0,1204058.0,990708.0,1064171.0,1109475.0,873072.0,1076156.0,839550.0,895899.0,926508.0,711690.0
