,Country,1990-01-01 00:00:00,1990-02-01 00:00:00,1990-03-01 00:00:00,1990-04-01 00:00:00,1990-05-01 00:00:00,1990-06-01 00:00:00,1990-07-01 00:00:00,1990-08-01 00:00:00,1990-09-01 00:00:00,1990-10-01 00:00:00,1990-11-01 00:00:00,1990-12-01 00:00:00
1,Austria,25877.0,20780.0,32661.0,31991.0,29744.0,25876.0,25884.0,21055.0,21013.0,23368.0,19233.0,11136.0
2,Belgium,49036.0,47698.0,51375.0,46637.0,40780.0,43018.0,32674.0,26509.0,40974.0,34705.0,34890.0,25210.0
3,Denmark,6648.0,6925.0,9808.0,8515.0,7980.0,7893.0,5853.0,6239.0,6897.0,6182.0,4642.0,3072.0
4,Finland,17504.0,9740.0,16816.0,15769.0,12239.0,14874.0,10673.0,9667.0,9621.0,10307.0,7661.0,4224.0
5,France,234571.0,191225.0,222418.0,191541.0,196828.0,151378.0,228317.0,178136.0,138220.0,221772.0,193530.0,161194.0
6,Germany,226265.0,234428.0,325963.0,290071.0,299364.0,272254.0,295892.0,251007.0,237534.0,335700.0,347185.0,234125.0
7,Greece,10437.0,6809.0,4672.0,13344.0,12536.0,9790.0,11624.0,10257.0,6052.0,10700.0,9772.0,9487.0
8,Ireland,11149.0,8328.0,8494.0,9331.0,10046.0,7922.0,7714.0,6080.0,4773.0,4278.0,2760.0,1709.0
9,Italy,310337.0,219117.0,225059.0,214460.0,232627.0,201085.0,206843.0,107075.0,153386.0,183925.0,157300.0,95841.0
10,Luxembourg,2509.0,3805.0,4537.0,4043.0,3852.0,3390.0,3147.0,2287.0,2120.0,3608.0,3024.0,2100.0
11,Netherlands,84370.0,35007.0,58695.0,47200.0,47134.0,48831.0,33566.0,33974.0,33948.0,39386.0,31294.0,9222.0
12,Portugal,15258.0,15211.0,18873.0,17991.0,19080.0,19034.0,19211.0,15250.0,14075.0,17373.0,17337.0,22231.0
13,Spain,84556.0,84008.0,104633.0,88956.0,94306.0,92311.0,106009.0,73744.0,50630.0,75103.0,69007.0,64907.0
14,Sweden,21379.0,20879.0,25452.0,22028.0,23491.0,23321.0,12779.0,13837.0,16201.0,19898.0,16491.0,14185.0
15,United Kingdom,206393.0,167420.0,208733.0,166913.0,173896.0,142697.0,45707.0,432867.0,153595.0,130377.0,117499.0,62837.0
16,EU-151,1306289.0,1071380.0,1318189.0,1168790.0,1203903.0,1063674.0,1045893.0,1187984.0,889039.0,1116682.0,1031625.0,721480.0
