,Country,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00
1,Austria,23448.0,19505.0,35046.0,30855.0,30659.0,29833.0,25403.0,23022.0,24274.0,25001.0,23873.0,17675.0
2,Belgium,58128.0,54554.0,64963.0,51147.0,50701.0,46118.0,35359.0,33018.0,34989.0,41492.0,34686.0,20986.0
3,Denmark,11187.0,10549.0,14176.0,13222.0,15617.0,16812.0,11374.0,11949.0,12076.0,12268.0,12403.0,12752.0
4,Finland,18443.0,11606.0,13747.0,12247.0,15159.0,15098.0,10661.0,11068.0,11716.0,11121.0,9032.0,5791.0
5,France,168589.0,160537.0,197376.0,181647.0,177343.0,223737.0,151549.0,113955.0,143634.0,173137.0,158296.0,150749.0
6,Germany,223108.0,215963.0,358072.0,284873.0,330102.0,323776.0,265845.0,244757.0,298179.0,293832.0,326038.0,303416.0
7,Greece,29792.0,21198.0,25069.0,23520.0,26427.0,26652.0,26643.0,19271.0,18355.0,19619.0,18520.0,12603.0
8,Ireland,42804.0,25469.0,25956.0,17258.0,17570.0,15428.0,12105.0,9062.0,6125.0,4027.0,1684.0,996.0
9,Italy,239651.0,211562.0,252901.0,187508.0,228643.0,209265.0,192084.0,97168.0,184405.0,189234.0,192725.0,140903.0
10,Luxembourg,4167.0,4223.0,5832.0,5507.0,5822.0,4916.0,4059.0,2801.0,3241.0,4018.0,3730.0,2521.0
11,Netherlands,69231.0,39817.0,50980.0,36830.0,41327.0,48673.0,36332.0,34110.0,39608.0,38892.0,35162.0,13008.0
12,Portugal,15631.0,15446.0,20886.0,17072.0,19033.0,21594.0,18402.0,11695.0,12399.0,14235.0,14704.0,13605.0
13,Spain,113410.0,126099.0,174117.0,129476.0,153658.0,169242.0,167450.0,102389.0,104771.0,125109.0,133002.0,135885.0
14,Sweden,17128.0,18568.0,25560.0,25809.0,28827.0,28320.0,18895.0,22241.0,24472.0,24251.0,24816.0,23879.0
15,United Kingdom,157363.0,75996.0,435847.0,163216.0,190002.0,219497.0,168015.0,77961.0,413991.0,153851.0,155315.0,133810.0
16,EU-151,1192080.0,1011092.0,1700528.0,1180187.0,1330890.0,1398961.0,1144176.0,814467.0,1332235.0,1130087.0,1143986.0,988579.0
