,Country,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00
1,Austria,21884.0,21987.0,29907.0,31813.0,28364.0,34713.0,22695.0,18285.0,22509.0,25992.0,19836.0,15712.0
2,Belgium,56846.0,55941.0,57077.0,61703.0,48441.0,50689.0,39242.0,32954.0,37838.0,42998.0,30381.0,21837.0
3,Denmark,14391.0,12953.0,12246.0,16074.0,14575.0,15345.0,12974.0,11336.0,11993.0,11326.0,8327.0,8605.0
4,Finland,21549.0,12056.0,12625.0,15494.0,14218.0,12142.0,11177.0,9446.0,9842.0,10153.0,6445.0,4464.0
5,France,162116.0,175126.0,188879.0,198558.0,184463.0,219753.0,182954.0,103350.0,160565.0,174939.0,145893.0,153686.0
6,Germany,220742.0,228623.0,286549.0,317960.0,275259.0,304036.0,262534.0,214386.0,261384.0,258814.0,233772.0,225981.0
7,Greece,33583.0,23292.0,22396.0,28036.0,24739.0,26553.0,29046.0,19819.0,18825.0,19666.0,13402.0,7938.0
8,Ireland,47275.0,23987.0,21451.0,13263.0,10135.0,7884.0,16349.0,5237.0,3453.0,1741.0,644.0,188.0
9,Italy,233708.0,218767.0,214246.0,203748.0,206407.0,186257.0,193017.0,77905.0,177467.0,169032.0,139413.0,141715.0
10,Luxembourg,3982.0,4152.0,5355.0,6419.0,5092.0,4902.0,4811.0,2918.0,4053.0,4488.0,3426.0,2761.0
11,Netherlands,66329.0,50326.0,47182.0,42247.0,45796.0,48233.0,40079.0,39596.0,41275.0,41875.0,29783.0,7197.0
12,Portugal,15845.0,17339.0,22045.0,18449.0,19757.0,20979.0,21576.0,12353.0,13822.0,14674.0,15386.0,21164.0
13,Spain,101621.0,121415.0,124702.0,123561.0,116112.0,114960.0,121496.0,58530.0,65594.0,77686.0,63122.0,72377.0
14,Sweden,17033.0,21250.0,23540.0,27478.0,26251.0,23959.0,16902.0,17721.0,22777.0,22299.0,17616.0,17156.0
15,United Kingdom,162097.0,69610.0,451642.0,175668.0,179272.0,209190.0,153420.0,63225.0,330295.0,128352.0,100333.0,108691.0
16,EU-151,1179001.0,1056824.0,1519842.0,1280471.0,1198881.0,1279595.0,1128272.0,687061.0,1181692.0,1004035.0,827779.0,809472.0
