,Country,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00
1,Austria,23929.0,19487.0,32200.0,33091.0,29570.0,31636.0,28271.0,20636.0,25109.0,24692.0,23775.0,18896.0
2,Belgium,47012.0,49700.0,60965.0,53261.0,38955.0,43378.0,31083.0,29651.0,33594.0,38868.0,33441.0,24849.0
3,Denmark,7645.0,7479.0,10420.0,10619.0,9954.0,12410.0,9235.0,9089.0,10422.0,10477.0,11345.0,12395.0
4,Finland,18358.0,11560.0,13072.0,14059.0,13319.0,13150.0,10647.0,10125.0,11022.0,11130.0,9684.0,6313.0
5,France,154193.0,155000.0,197691.0,173612.0,169545.0,217766.0,168408.0,105795.0,154328.0,169585.0,175966.0,171820.0
6,Germany,208212.0,224092.0,332962.0,297126.0,282562.0,311162.0,267620.0,220862.0,274538.0,281180.0,284761.0,281748.0
7,Greece,32006.0,22140.0,27231.0,28929.0,24528.0,31911.0,27595.0,19491.0,19782.0,20106.0,22003.0,13969.0
8,Ireland,32686.0,21056.0,23190.0,15883.0,15414.0,13255.0,12402.0,7281.0,6084.0,4441.0,1731.0,713.0
9,Italy,220742.0,207035.0,249711.0,208769.0,207022.0,198272.0,208794.0,86120.0,180445.0,175181.0,172213.0,150384.0
10,Luxembourg,3392.0,4332.0,6209.0,5792.0,4408.0,4338.0,4010.0,2527.0,3205.0,4015.0,3390.0,2616.0
11,Netherlands,69895.0,39021.0,46929.0,41583.0,38593.0,49182.0,38980.0,32257.0,40658.0,39418.0,34599.0,12630.0
12,Portugal,14446.0,14519.0,21176.0,16863.0,19457.0,19504.0,18725.0,12551.0,13662.0,14459.0,17324.0,14959.0
13,Spain,98857.0,120417.0,154790.0,125203.0,131355.0,158897.0,167670.0,88394.0,98290.0,118753.0,124385.0,130275.0
14,Sweden,16019.0,17681.0,25187.0,25494.0,23935.0,27179.0,16703.0,17837.0,22460.0,22652.0,23676.0,25423.0
15,United Kingdom,197591.0,91460.0,466954.0,187003.0,194480.0,239077.0,187632.0,84996.0,430763.0,170866.0,172094.0,144353.0
16,EU-151,1144983.0,1004979.0,1668687.0,1237287.0,1203097.0,1371117.0,1197775.0,747612.0,1324362.0,1105823.0,1110387.0,1011343.0
