,Country,1993-01-01 00:00:00,1993-02-01 00:00:00,1993-03-01 00:00:00,1993-04-01 00:00:00,1993-05-01 00:00:00,1993-06-01 00:00:00,1993-07-01 00:00:00,1993-08-01 00:00:00,1993-09-01 00:00:00,1993-10-01 00:00:00,1993-11-01 00:00:00,1993-12-01 00:00:00
1,Austria,28161.0,22348.0,33698.0,36035.0,31641.0,25626.0,25110.0,18074.0,20829.0,20797.0,15161.0,7677.0
2,Belgium,41750.0,34569.0,43472.0,38976.0,28651.0,35209.0,31579.0,23747.0,26178.0,28856.0,24168.0,18254.0
3,Denmark,5623.0,4890.0,7864.0,8658.0,7378.0,7428.0,6748.0,6597.0,6720.0,7099.0,6790.0,6218.0
4,Finland,6258.0,3940.0,5823.0,5301.0,5224.0,4805.0,3591.0,4028.0,5286.0,4575.0,4059.0,2946.0
5,France,112659.0,125634.0,165040.0,157739.0,131237.0,121171.0,193383.0,124170.0,123147.0,158521.0,157063.0,151458.0
6,Germany,238246.0,238406.0,364211.0,339769.0,282038.0,286140.0,267233.0,210452.0,255602.0,252567.0,229204.0,230336.0
7,Greece,16456.0,16789.0,19237.0,15844.0,7223.0,7368.0,8515.0,6728.0,8997.0,13036.0,11222.0,16374.0
8,Ireland,9786.0,7508.0,6999.0,8023.0,6858.0,6178.0,6821.0,3780.0,3298.0,2959.0,1544.0,407.0
9,Italy,229296.0,183154.0,176998.0,154476.0,144114.0,152677.0,151722.0,66738.0,117298.0,123470.0,114782.0,80703.0
10,Luxembourg,2109.0,3748.0,4494.0,2856.0,2388.0,2279.0,2620.0,1672.0,1883.0,2207.0,1806.0,1612.0
11,Netherlands,44489.0,30685.0,39068.0,41231.0,34090.0,36693.0,34932.0,29258.0,30337.0,36054.0,26359.0,8708.0
12,Portugal,18757.0,19511.0,25891.0,23400.0,20620.0,20304.0,22418.0,16764.0,16139.0,16792.0,18516.0,23559.0
13,Spain,41261.0,58329.0,74220.0,64952.0,66604.0,74385.0,87226.0,47580.0,49590.0,55281.0,55469.0,69004.0
14,Sweden,8019.0,9549.0,13125.0,10919.0,10899.0,10115.0,6448.0,7787.0,10516.0,12195.0,12404.0,12458.0
15,United Kingdom,164939.0,126984.0,161338.0,135469.0,136386.0,113919.0,35376.0,440206.0,136100.0,126305.0,127674.0,73730.0
16,EU-151,967809.0,886044.0,1141478.0,1043648.0,915351.0,904297.0,883722.0,1007581.0,811920.0,860714.0,806221.0,703444.0
