,Country,1994-01-01 00:00:00,1994-02-01 00:00:00,1994-03-01 00:00:00,1994-04-01 00:00:00,1994-05-01 00:00:00,1994-06-01 00:00:00,1994-07-01 00:00:00,1994-08-01 00:00:00,1994-09-01 00:00:00,1994-10-01 00:00:00,1994-11-01 00:00:00,1994-12-01 00:00:00
1,Austria,24775.0,20206.0,34345.0,28189.0,27806.0,28052.0,26566.0,18071.0,20948.0,19530.0,16574.0,8601.0
2,Belgium,42755.0,42312.0,50243.0,36755.0,34684.0,35219.0,24696.0,22387.0,25011.0,30211.0,23558.0,19517.0
3,Denmark,7769.0,9433.0,14278.0,13432.0,13118.0,16343.0,11464.0,10870.0,11430.0,11435.0,10675.0,9433.0
4,Finland,8221.0,4685.0,6626.0,6333.0,7398.0,6010.0,4611.0,4947.0,5818.0,5261.0,4238.0,3053.0
5,France,129170.0,135855.0,188301.0,184343.0,164836.0,135987.0,211104.0,147451.0,137127.0,173721.0,190458.0,174566.0
6,Germany,249211.0,243597.0,372668.0,288821.0,305228.0,303772.0,254177.0,199537.0,255486.0,246818.0,245965.0,243944.0
7,Greece,7552.0,8032.0,10360.0,12500.0,10500.0,10500.0,8500.0,7600.0,6800.0,7800.0,9400.0,10000.0
8,Ireland,12898.0,9986.0,12668.0,7741.0,9638.0,7759.0,6849.0,4207.0,3951.0,2707.0,1575.0,423.0
9,Italy,190600.0,146995.0,180480.0,135385.0,159862.0,155064.0,147648.0,72969.0,124464.0,131082.0,133057.0,94160.0
10,Luxembourg,1918.0,3487.0,3719.0,3525.0,2783.0,2803.0,2309.0,1513.0,1749.0,2062.0,1744.0,1470.0
11,Netherlands,65648.0,33758.0,46673.0,41556.0,37178.0,43357.0,31742.0,26619.0,33752.0,33573.0,29661.0,10487.0
12,Portugal,16408.0,18442.0,23895.0,19728.0,23372.0,22716.0,23778.0,14724.0,12068.0,14217.0,19140.0,24428.0
13,Spain,52895.0,61962.0,85921.0,69939.0,87627.0,95617.0,102184.0,64112.0,63152.0,69167.0,65902.0,91204.0
14,Sweden,10397.0,10714.0,16078.0,15750.0,15453.0,15646.0,7895.0,8837.0,12557.0,13642.0,14428.0,14978.0
15,United Kingdom,198525.0,145710.0,185201.0,142009.0,150070.0,134748.0,34489.0,452566.0,144998.0,122526.0,126854.0,73237.0
16,EU-151,1018742.0,895174.0,1231456.0,1006006.0,1049553.0,1013593.0,898012.0,1056410.0,859311.0,883752.0,893229.0,779501.0
