,Country,2001-01-01 00:00:00,2001-02-01 00:00:00,2001-03-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00,2001-08-01 00:00:00,2001-09-01 00:00:00,2001-10-01 00:00:00,2001-11-01 00:00:00,2001-12-01 00:00:00
1,Austria,25885.0,21569.0,34067.0,31904.0,30468.0,27038.0,26594.0,20816.0,20590.0,23129.0,19813.0,11655.0
2,Belgium,57349.0,45711.0,49944.0,45105.0,45980.0,44156.0,40098.0,33024.0,30593.0,42206.0,33312.0,21205.0
3,Denmark,6226.0,7129.0,9310.0,9066.0,10089.0,10081.0,7292.0,7733.0,6696.0,7207.0,7464.0,7880.0
4,Finland,12625.0,8370.0,10039.0,9372.0,11438.0,10366.0,9011.0,8964.0,8211.0,8694.0,7293.0,5104.0
5,France,191203.0,177412.0,210285.0,201359.0,203831.0,220321.0,208338.0,148165.0,153044.0,198527.0,182000.0,160247.0
6,Germany,242242.0,236150.0,356024.0,295013.0,330325.0,302643.0,277252.0,256418.0,257918.0,284317.0,277242.0,226174.0
7,Greece,29440.0,22780.0,25033.0,25284.0,28780.0,27691.0,29251.0,21842.0,18331.0,20453.0,18851.0,12478.0
8,Ireland,33345.0,23458.0,22696.0,16671.0,18511.0,14436.0,12294.0,8804.0,5565.0,5377.0,2682.0,891.0
9,Italy,272052.0,224757.0,251698.0,220800.0,234929.0,217696.0,216093.0,107330.0,159740.0,198367.0,178826.0,131167.0
10,Luxembourg,3385.0,4372.0,5317.0,4240.0,4186.0,3802.0,3846.0,2686.0,2536.0,3545.0,2897.0,2021.0
11,Netherlands,70380.0,41757.0,56536.0,43492.0,49985.0,49796.0,45216.0,41755.0,40596.0,43796.0,38260.0,8662.0
12,Portugal,23316.0,19047.0,25607.0,20001.0,27799.0,27778.0,26916.0,16066.0,15462.0,17820.0,17690.0,17708.0
13,Spain,91723.0,116125.0,148031.0,122310.0,136136.0,150414.0,162780.0,88615.0,84269.0,111486.0,106677.0,107007.0
14,Sweden,16595.0,17926.0,23632.0,22969.0,25081.0,23867.0,14857.0,18421.0,18928.0,21388.0,21244.0,21673.0
15,United Kingdom,187908.0,79151.0,408024.0,179996.0,198620.0,215325.0,173038.0,77368.0,443265.0,185325.0,184278.0,126471.0
16,EU-151,1263674.0,1045714.0,1636243.0,1247582.0,1356158.0,1345410.0,1252876.0,858007.0,1265744.0,1171637.0,1098529.0,860343.0
