,Country,1997-01-01 00:00:00,1997-02-01 00:00:00,1997-03-01 00:00:00,1997-04-01 00:00:00,1997-05-01 00:00:00,1997-06-01 00:00:00,1997-07-01 00:00:00,1997-08-01 00:00:00,1997-09-01 00:00:00,1997-10-01 00:00:00,1997-11-01 00:00:00,1997-12-01 00:00:00
1,Austria,23940.0,21004.0,30568.0,32332.0,25561.0,26390.0,26493.0,18622.0,21720.0,21803.0,16319.0,10249.0
2,Belgium,44465.0,39124.0,39329.0,40771.0,32868.0,36696.0,31981.0,23391.0,29785.0,33737.0,24562.0,19531.0
3,Denmark,10163.0,12497.0,16658.0,15449.0,29580.0,8088.0,8112.0,9296.0,10085.0,11872.0,10490.0,9794.0
4,Finland,13460.0,7936.0,8866.0,10728.0,9299.0,9004.0,8252.0,7947.0,8113.0,8897.0,6685.0,5320.0
5,France,122320.0,133112.0,151404.0,164036.0,120475.0,93171.0,211560.0,121525.0,130230.0,165083.0,144470.0,155644.0
6,Germany,266069.0,259584.0,343427.0,350773.0,292660.0,344194.0,326394.0,243320.0,277608.0,308505.0,250689.0,264956.0
7,Greece,17457.0,11234.0,12315.0,17090.0,14721.0,14452.0,16363.0,10413.0,9951.0,13259.0,11461.0,11151.0
8,Ireland,20375.0,14825.0,16045.0,11922.0,15203.0,10664.0,11948.0,7526.0,6527.0,7272.0,6818.0,7537.0
9,Italy,203844.0,194955.0,218653.0,228990.0,230824.0,219429.0,246597.0,108152.0,205014.0,228638.0,187804.0,130844.0
10,Luxembourg,2216.0,3836.0,3559.0,4011.0,2793.0,2677.0,2686.0,1634.0,1987.0,2414.0,1941.0,1664.0
11,Netherlands,71959.0,41221.0,45816.0,44378.0,42129.0,43933.0,38317.0,31920.0,35107.0,41942.0,30219.0,11349.0
12,Portugal,15960.0,17518.0,22156.0,18915.0,18797.0,18710.0,22389.0,13225.0,12854.0,16252.0,16239.0,20621.0
13,Spain,68126.0,73798.0,97643.0,89630.0,87990.0,93867.0,119551.0,59339.0,63397.0,87943.0,77652.0,97447.0
14,Sweden,13999.0,17331.0,20060.0,23328.0,18845.0,20884.0,15042.0,15243.0,18371.0,22458.0,20018.0,19684.0
15,United Kingdom,206985.0,163492.0,179985.0,182747.0,169886.0,151620.0,36069.0,525539.0,160739.0,156706.0,152323.0,84634.0
16,EU-151,1101338.0,1011467.0,1206484.0,1235100.0,1111631.0,1093779.0,1121754.0,1197092.0,991488.0,1126781.0,957690.0,850425.0
